16:07:46.896 | INFO | 01: | 23488:ExpressionDBWebAPI | Start WebAPI | Program | Void <Main>$(String[]) | 40 L | ExpressionDBWebAPI | 1.0.0.0 | TGH240401 | TACHIBANA\24018 | 5559608 B
17:10:28.974 | FATL | 35:.NET TP Worker | 24556:ExpressionDBWebAPI | A network-related or instance-specific error occurred while establishing a connection to SQL Server. The server was not found or was not accessible. Verify that the instance name is correct and that SQL Server is configured to allow remote connections. (provider: SQL Network Interfaces, error: 26 - Error Locating Server/Instance Specified) | ExpressionDBWebAPI.Common.SqlServerSource | List<ResponseValue> ExecuteQuery(String, List<IDbDataParameter>, Int32) | 193 L | ExpressionDBWebAPI | 1.0.0.0 | TGH240401 | TACHIBANA\24018 | 13672744 B
17:10:28.974 | FATL | 37:.NET TP Worker | 24556:ExpressionDBWebAPI | Exception has been thrown by the target of an invocation. | ExpressionDBWebAPI.Controllers.CommonGenericController | ActionResult<IEnumerable<AbstractViewModelBase>> Post(ClassNameSelect, CancellationToken) | 35 L | ExpressionDBWebAPI | 1.0.0.0 | TGH240401 | TACHIBANA\24018 | 13689192 B
17:10:28.974 | FATL | 33:.NET TP Worker | 24556:ExpressionDBWebAPI | Exception has been thrown by the target of an invocation. | ExpressionDBWebAPI.Controllers.CommonGenericController | ActionResult<IEnumerable<AbstractViewModelBase>> Post(ClassNameSelect, CancellationToken) | 35 L | ExpressionDBWebAPI | 1.0.0.0 | TGH240401 | TACHIBANA\24018 | 13689192 B
17:10:29.073 | FATL | 36:.NET TP Worker | 24556:ExpressionDBWebAPI | A network-related or instance-specific error occurred while establishing a connection to SQL Server. The server was not found or was not accessible. Verify that the instance name is correct and that SQL Server is configured to allow remote connections. (provider: SQL Network Interfaces, error: 26 - Error Locating Server/Instance Specified) | ExpressionDBWebAPI.Controllers.LogController | IActionResult Post(LoggerRequestValue, CancellationToken) | 44 L | ExpressionDBWebAPI | 1.0.0.0 | TGH240401 | TACHIBANA\24018 | 13872480 B
17:10:29.110 | FATL | 35:.NET TP Worker | 24556:ExpressionDBWebAPI | A network-related or instance-specific error occurred while establishing a connection to SQL Server. The server was not found or was not accessible. Verify that the instance name is correct and that SQL Server is configured to allow remote connections. (provider: SQL Network Interfaces, error: 26 - Error Locating Server/Instance Specified) | ExpressionDBWebAPI.Controllers.LogController | IActionResult Post(LoggerRequestValue, CancellationToken) | 44 L | ExpressionDBWebAPI | 1.0.0.0 | TGH240401 | TACHIBANA\24018 | 14003552 B
17:20:25.575 | INFO | 34:.NET TP Worker | 24556:ExpressionDBWebAPI | {"viewName":"VW_ログイン情報","className":"","columnsDefineName":"","componentName":"","selectTopCnt":0,"selectParam":[],"whereParam":{},"orderByParam":[],"tableFuncFlg":false,"GetHintStr":"","modelTypeName":"","GetModelType":"System.Object","CommandTimeout":30,"tsqlHints":"NONE","$type":"ClassNameSelect"} | ExpressionDBWebAPI.Controllers.CommonController | ActionResult<IEnumerable<ResponseValue>> Post(ClassNameSelect, CancellationToken) | 31 L | ExpressionDBWebAPI | 1.0.0.0 | TGH240401 | TACHIBANA\24018 | 14303528 B
17:20:40.266 | FATL | 34:.NET TP Worker | 24556:ExpressionDBWebAPI | A network-related or instance-specific error occurred while establishing a connection to SQL Server. The server was not found or was not accessible. Verify that the instance name is correct and that SQL Server is configured to allow remote connections. (provider: SQL Network Interfaces, error: 26 - Error Locating Server/Instance Specified) | ExpressionDBWebAPI.Common.SqlServerSource | List<ResponseValue> ExecuteQuery(String, List<IDbDataParameter>, Int32) | 193 L | ExpressionDBWebAPI | 1.0.0.0 | TGH240401 | TACHIBANA\24018 | 14777664 B
17:20:40.266 | FATL | 40:.NET TP Worker | 24556:ExpressionDBWebAPI | A network-related or instance-specific error occurred while establishing a connection to SQL Server. The server was not found or was not accessible. Verify that the instance name is correct and that SQL Server is configured to allow remote connections. (provider: SQL Network Interfaces, error: 26 - Error Locating Server/Instance Specified) | ExpressionDBWebAPI.Common.SqlServerSource | List<ResponseValue> ExecuteQuery(String, List<IDbDataParameter>, Int32) | 193 L | ExpressionDBWebAPI | 1.0.0.0 | TGH240401 | TACHIBANA\24018 | 14777664 B
17:20:40.266 | INFO | 34:.NET TP Worker | 24556:ExpressionDBWebAPI | SQL:SELECT FROM  VW_ログイン情報  | ExpressionDBWebAPI.Controllers.CommonController | ValueTuple<String, IDictionary<String, WhereParam>> GetSQLStringAndParam(ClassNameSelect) | 281 L | ExpressionDBWebAPI | 1.0.0.0 | TGH240401 | TACHIBANA\24018 | 14785888 B
17:20:40.266 | INFO | 40:.NET TP Worker | 24556:ExpressionDBWebAPI | SQL:SELECT FROM  VW_DEFINE_DEVICE_GROUP  WITH (NOLOCK) ORDER BY  [SORT_ORDER]  | ExpressionDBWebAPI.Controllers.CommonController | ValueTuple<String, IDictionary<String, WhereParam>> GetSQLStringAndParam(ClassNameSelect) | 281 L | ExpressionDBWebAPI | 1.0.0.0 | TGH240401 | TACHIBANA\24018 | 14801728 B
17:20:40.266 | FATL | 38:.NET TP Worker | 24556:ExpressionDBWebAPI | A network-related or instance-specific error occurred while establishing a connection to SQL Server. The server was not found or was not accessible. Verify that the instance name is correct and that SQL Server is configured to allow remote connections. (provider: SQL Network Interfaces, error: 26 - Error Locating Server/Instance Specified) | ExpressionDBWebAPI.Common.SqlServerSource | List<ResponseValue> ExecuteQuery(String, List<IDbDataParameter>, Int32) | 193 L | ExpressionDBWebAPI | 1.0.0.0 | TGH240401 | TACHIBANA\24018 | 14801728 B
17:20:40.267 | INFO | 38:.NET TP Worker | 24556:ExpressionDBWebAPI | SQL:SELECT FROM  VW_DEFINE_DEVICE_GROUP  WITH (NOLOCK) ORDER BY  [SORT_ORDER]  | ExpressionDBWebAPI.Controllers.CommonController | ValueTuple<String, IDictionary<String, WhereParam>> GetSQLStringAndParam(ClassNameSelect) | 281 L | ExpressionDBWebAPI | 1.0.0.0 | TGH240401 | TACHIBANA\24018 | 14809952 B
17:20:54.989 | FATL | 40:.NET TP Worker | 24556:ExpressionDBWebAPI | Exception has been thrown by the target of an invocation. | ExpressionDBWebAPI.Controllers.CommonGenericController | ActionResult<IEnumerable<AbstractViewModelBase>> Post(ClassNameSelect, CancellationToken) | 35 L | ExpressionDBWebAPI | 1.0.0.0 | TGH240401 | TACHIBANA\24018 | 15175720 B
17:20:54.989 | FATL | 34:.NET TP Worker | 24556:ExpressionDBWebAPI | A network-related or instance-specific error occurred while establishing a connection to SQL Server. The server was not found or was not accessible. Verify that the instance name is correct and that SQL Server is configured to allow remote connections. (provider: SQL Network Interfaces, error: 26 - Error Locating Server/Instance Specified) | ExpressionDBWebAPI.Common.SqlServerSource | List<ResponseValue> ExecuteQuery(String, List<IDbDataParameter>, Int32) | 193 L | ExpressionDBWebAPI | 1.0.0.0 | TGH240401 | TACHIBANA\24018 | 15175720 B
17:20:54.989 | FATL | 38:.NET TP Worker | 24556:ExpressionDBWebAPI | Exception has been thrown by the target of an invocation. | ExpressionDBWebAPI.Controllers.CommonGenericController | ActionResult<IEnumerable<AbstractViewModelBase>> Post(ClassNameSelect, CancellationToken) | 35 L | ExpressionDBWebAPI | 1.0.0.0 | TGH240401 | TACHIBANA\24018 | 15175720 B
17:20:55.074 | FATL | 36:.NET TP Worker | 24556:ExpressionDBWebAPI | A network-related or instance-specific error occurred while establishing a connection to SQL Server. The server was not found or was not accessible. Verify that the instance name is correct and that SQL Server is configured to allow remote connections. (provider: SQL Network Interfaces, error: 26 - Error Locating Server/Instance Specified) | ExpressionDBWebAPI.Controllers.LogController | IActionResult Post(LoggerRequestValue, CancellationToken) | 44 L | ExpressionDBWebAPI | 1.0.0.0 | TGH240401 | TACHIBANA\24018 | 15340048 B
17:20:55.113 | FATL | 42:.NET TP Worker | 24556:ExpressionDBWebAPI | A network-related or instance-specific error occurred while establishing a connection to SQL Server. The server was not found or was not accessible. Verify that the instance name is correct and that SQL Server is configured to allow remote connections. (provider: SQL Network Interfaces, error: 26 - Error Locating Server/Instance Specified) | ExpressionDBWebAPI.Controllers.LogController | IActionResult Post(LoggerRequestValue, CancellationToken) | 44 L | ExpressionDBWebAPI | 1.0.0.0 | TGH240401 | TACHIBANA\24018 | 15490792 B
17:23:59.769 | INFO | 15:.NET TP Worker | 24556:ExpressionDBWebAPI | {"viewName":"VW_ログイン情報","className":"","columnsDefineName":"","componentName":"","selectTopCnt":0,"selectParam":[],"whereParam":{},"orderByParam":[],"tableFuncFlg":false,"GetHintStr":"","modelTypeName":"","GetModelType":"System.Object","CommandTimeout":30,"tsqlHints":"NONE","$type":"ClassNameSelect"} | ExpressionDBWebAPI.Controllers.CommonController | ActionResult<IEnumerable<ResponseValue>> Post(ClassNameSelect, CancellationToken) | 31 L | ExpressionDBWebAPI | 1.0.0.0 | TGH240401 | TACHIBANA\24018 | 15651968 B
17:24:14.436 | FATL | 45:.NET TP Worker | 24556:ExpressionDBWebAPI | A network-related or instance-specific error occurred while establishing a connection to SQL Server. The server was not found or was not accessible. Verify that the instance name is correct and that SQL Server is configured to allow remote connections. (provider: SQL Network Interfaces, error: 26 - Error Locating Server/Instance Specified) | ExpressionDBWebAPI.Common.SqlServerSource | List<ResponseValue> ExecuteQuery(String, List<IDbDataParameter>, Int32) | 193 L | ExpressionDBWebAPI | 1.0.0.0 | TGH240401 | TACHIBANA\24018 | 16099904 B
17:24:14.436 | FATL | 42:.NET TP Worker | 24556:ExpressionDBWebAPI | A network-related or instance-specific error occurred while establishing a connection to SQL Server. The server was not found or was not accessible. Verify that the instance name is correct and that SQL Server is configured to allow remote connections. (provider: SQL Network Interfaces, error: 26 - Error Locating Server/Instance Specified) | ExpressionDBWebAPI.Common.SqlServerSource | List<ResponseValue> ExecuteQuery(String, List<IDbDataParameter>, Int32) | 193 L | ExpressionDBWebAPI | 1.0.0.0 | TGH240401 | TACHIBANA\24018 | 16099904 B
17:24:14.436 | FATL | 15:.NET TP Worker | 24556:ExpressionDBWebAPI | A network-related or instance-specific error occurred while establishing a connection to SQL Server. The server was not found or was not accessible. Verify that the instance name is correct and that SQL Server is configured to allow remote connections. (provider: SQL Network Interfaces, error: 26 - Error Locating Server/Instance Specified) | ExpressionDBWebAPI.Common.SqlServerSource | List<ResponseValue> ExecuteQuery(String, List<IDbDataParameter>, Int32) | 193 L | ExpressionDBWebAPI | 1.0.0.0 | TGH240401 | TACHIBANA\24018 | 16099904 B
17:24:14.436 | INFO | 15:.NET TP Worker | 24556:ExpressionDBWebAPI | SQL:SELECT FROM  VW_ログイン情報  | ExpressionDBWebAPI.Controllers.CommonController | ValueTuple<String, IDictionary<String, WhereParam>> GetSQLStringAndParam(ClassNameSelect) | 281 L | ExpressionDBWebAPI | 1.0.0.0 | TGH240401 | TACHIBANA\24018 | 16116288 B
17:24:14.436 | INFO | 42:.NET TP Worker | 24556:ExpressionDBWebAPI | SQL:SELECT FROM  VW_DEFINE_DEVICE_GROUP  WITH (NOLOCK) ORDER BY  [SORT_ORDER]  | ExpressionDBWebAPI.Controllers.CommonController | ValueTuple<String, IDictionary<String, WhereParam>> GetSQLStringAndParam(ClassNameSelect) | 281 L | ExpressionDBWebAPI | 1.0.0.0 | TGH240401 | TACHIBANA\24018 | 16123776 B
17:24:14.436 | INFO | 45:.NET TP Worker | 24556:ExpressionDBWebAPI | SQL:SELECT FROM  VW_DEFINE_DEVICE_GROUP  WITH (NOLOCK) ORDER BY  [SORT_ORDER]  | ExpressionDBWebAPI.Controllers.CommonController | ValueTuple<String, IDictionary<String, WhereParam>> GetSQLStringAndParam(ClassNameSelect) | 281 L | ExpressionDBWebAPI | 1.0.0.0 | TGH240401 | TACHIBANA\24018 | 16123776 B
17:24:29.093 | FATL | 15:.NET TP Worker | 24556:ExpressionDBWebAPI | A network-related or instance-specific error occurred while establishing a connection to SQL Server. The server was not found or was not accessible. Verify that the instance name is correct and that SQL Server is configured to allow remote connections. (provider: SQL Network Interfaces, error: 26 - Error Locating Server/Instance Specified) | ExpressionDBWebAPI.Common.SqlServerSource | List<ResponseValue> ExecuteQuery(String, List<IDbDataParameter>, Int32) | 193 L | Expre17:26:18.222 | INFO | 01: | 25428:ExpressionDBWebAPI | Start WebAPI | Program | Void <Main>$(String[]) | 40 L | ExpressionDBWebAPI | 1.0.0.0 | TGH240401 | TACHIBANA\24018 | 5547248 B
17:27:03.325 | WARN | 07:.NET TP Worker | 25428:ExpressionDBWebAPI | Failed to determine the https port for redirect. | Microsoft.AspNetCore.HttpsPolicy.HttpsRedirectionMiddleware |  |  L | ExpressionDBWebAPI | 1.0.0.0 | TGH240401 | TACHIBANA\24018 | 8247136 B
17:27:03.533 | INFO | 07:.NET TP Worker | 25428:ExpressionDBWebAPI | {"viewName":"VW_ログイン情報","className":"","columnsDefineName":"","componentName":"","selectTopCnt":0,"selectParam":[],"whereParam":{},"orderByParam":[],"tableFuncFlg":false,"GetHintStr":"","modelTypeName":"","GetModelType":"System.Object","CommandTimeout":30,"tsqlHints":"NONE","$type":"ClassNameSelect"} | ExpressionDBWebAPI.Controllers.CommonController | ActionResult<IEnumerable<ResponseValue>> Post(ClassNameSelect, CancellationToken) | 31 L | ExpressionDBWebAPI | 1.0.0.0 | TGH240401 | TACHIBANA\24018 | 8951688 B
17:27:18.597 | FATL | 07:.NET TP Worker | 25428:ExpressionDBWebAPI | A network-related or instance-specific error occurred while establishing a connection to SQL Server. The server was not found or was not accessible. Verify that the instance name is correct and that SQL Server is configured to allow remote connections. (provider: SQL Network Interfaces, error: 26 - Error Locating Server/Instance Specified) | ExpressionDBWebAPI.Common.SqlServerSource | List<ResponseValue> ExecuteQuery(String, List<IDbDataParameter>, Int32) | 193 L | ExpressionDBWebAPI | 1.0.0.0 | TGH240401 | TACHIBANA\24018 | 9644704 B
17:27:18.597 | FATL | 18:.NET TP Worker | 25428:ExpressionDBWebAPI | A network-related or instance-specific error occurred while establishing a connection to SQL Server. The server was not found or was not accessible. Verify that the instance name is correct and that SQL Server is configured to allow remote connections. (provider: SQL Network Interfaces, error: 26 - Error Locating Server/Instance Specified) | ExpressionDBWebAPI.Common.SqlServerSource | List<ResponseValue> ExecuteQuery(String, List<IDbDataParameter>, Int32) | 193 L | ExpressionDBWebAPI | 1.0.0.0 | TGH240401 | TACHIBANA\24018 | 9644704 B
17:27:18.597 | FATL | 05:.NET TP Worker | 25428:ExpressionDBWebAPI | A network-related or instance-specific error occurred while establishing a connection to SQL Server. The server was not found or was not accessible. Verify that the instance name is correct and that SQL Server is configured to allow remote connections. (provider: SQL Network Interfaces, error: 26 - Error Locating Server/Instance Specified) | ExpressionDBWebAPI.Common.SqlServerSource | List<ResponseValue> ExecuteQuery(String, List<IDbDataParameter>, Int32) | 193 L | ExpressionDBWebAPI | 1.0.0.0 | TGH240401 | TACHIBANA\24018 | 9644704 B
17:27:18.598 | INFO | 07:.NET TP Worker | 25428:ExpressionDBWebAPI | SQL:SELECT FROM  VW_ログイン情報  | ExpressionDBWebAPI.Controllers.CommonController | ValueTuple<String, IDictionary<String, WhereParam>> GetSQLStringAndParam(ClassNameSelect) | 281 L | ExpressionDBWebAPI | 1.0.0.0 | TGH240401 | TACHIBANA\24018 | 9659424 B
17:27:18.599 | INFO | 18:.NET TP Worker | 25428:ExpressionDBWebAPI | SQL:SELECT FROM  VW_DEFINE_DEVICE_GROUP  WITH (NOLOCK) ORDER BY  [SORT_ORDER]  | ExpressionDBWebAPI.Controllers.CommonController | ValueTuple<String, IDictionary<String, WhereParam>> GetSQLStringAndParam(ClassNameSelect) | 281 L | ExpressionDBWebAPI | 1.0.0.0 | TGH240401 | TACHIBANA\24018 | 9659424 B
17:27:18.599 | INFO | 05:.NET TP Worker | 25428:ExpressionDBWebAPI | SQL:SELECT FROM  VW_DEFINE_DEVICE_GROUP  WITH (NOLOCK) ORDER BY  [SORT_ORDER]  | ExpressionDBWebAPI.Controllers.CommonController | ValueTuple<String, IDictionary<String, WhereParam>> GetSQLStringAndParam(ClassNameSelect) | 281 L | ExpressionDBWebAPI | 1.0.0.0 | TGH240401 | TACHIBANA\24018 | 9675592 B
17:27:18.600 | FATL | 07:.NET TP Worker | 25428:ExpressionDBWebAPI | A network-related or instance-specific error occurred while establishing a connection to SQL Server. The server was not found or was not accessible. Verify that the instance name is correct and that SQL Server is configured to allow remote connections. (provider: SQL Network Interfaces, error: 26 - Error Locating Server/Instance Specified) | ExpressionDBWebAPI.Common.SqlServerSource | List<ResponseValue> ExecuteQuery(String, List<IDbDataParameter>, Int32) | 193 L | ExpressionDBWebAPI | 1.0.0.0 | TGH240401 | TACHIBANA\24018 | 9741128 B
17:27:18.608 | FATL | 05:.NET TP Worker | 25428:ExpressionDBWebAPI | Exception has been thrown by the target of an invocation. | ExpressionDBWebAPI.Controllers.CommonGenericController | ActionResult<IEnumerable<AbstractViewModelBase>> Post(ClassNameSelect, CancellationToken) | 35 L | ExpressionDBWebAPI | 1.0.0.0 | TGH240401 | TACHIBANA\24018 | 9888648 B
17:27:18.608 | FATL | 18:.NET TP Worker | 25428:ExpressionDBWebAPI | Exception has been thrown by the target of an invocation. | ExpressionDBWebAPI.Controllers.CommonGenericController | ActionResult<IEnumerable<AbstractViewModelBase>> Post(ClassNameSelect, CancellationToken) | 35 L | ExpressionDBWebAPI | 1.0.0.0 | TGH240401 | TACHIBANA\24018 | 9888648 B
17:27:18.717 | FATL | 18:.NET TP Worker | 25428:ExpressionDBWebAPI | A network-related or instance-specific error occurred while establishing a connection to SQL Server. The server was not found or was not accessible. Verify that the instance name is correct and that SQL Server is configured to allow remote connections. (provider: SQL Network Interfaces, error: 26 - Error Locating Server/Instance Specified) | ExpressionDBWebAPI.Controllers.LogController | IActionResult Post(LoggerRequestValue, CancellationToken) | 44 L | ExpressionDBWebAPI | 1.0.0.0 | TGH240401 | TACHIBANA\24018 | 10342064 B
17:27:18.717 | FATL | 07:.NET TP Worker | 25428:ExpressionDBWebAPI | A network-related or instance-specific error occurred while establishing a connection to SQL Server. The server was not found or was not accessible. Verify that the instance name is correct and that SQL Server is configured to allow remote connections. (provider: SQL Network Interfaces, error: 26 - Error Locating Server/Instance Specified) | ExpressionDBWebAPI.Controllers.LogController | IActionResult Post(LoggerRequestValue, CancellationToken) | 44 L | ExpressionDBWebAPI | 1.0.0.0 | TGH240401 | TACHIBANA\24018 | 10342064 B
17:29:03.327 | INFO | 22:.NET TP Worker | 25428:ExpressionDBWebAPI | {"viewName":"VW_ログイン情報","className":"","columnsDefineName":"","componentName":"","selectTopCnt":0,"selectParam":[],"whereParam":{},"orderByParam":[],"tableFuncFlg":false,"GetHintStr":"","modelTypeName":"","GetModelType":"System.Object","CommandTimeout":30,"tsqlHints":"NONE","$type":"ClassNameSelect"} | ExpressionDBWebAPI.Controllers.CommonController | ActionResult<IEnumerable<ResponseValue>> Post(ClassNameSelect, CancellationToken) | 31 L | ExpressionDBWebAPI | 1.0.0.0 | TGH240401 | TACHIBANA\24018 | 10493168 B
17:29:18.027 | FATL | 18:.NET TP Worker | 25428:ExpressionDBWebAPI | A network-related or instance-specific error occurred while establishing a connection to SQL Server. The server was not found or was not accessible. Verify that the instance name is correct and that SQL Server is configured to allow remote connections. (provider: SQL Network Interfaces, error: 26 - Error Locating Server/Instance Specified) | ExpressionDBWebAPI.Common.SqlServerSource | List<ResponseValue> ExecuteQuery(String, List<IDbDataParameter>, Int32) | 193 L | ExpressionDBWebAPI | 1.0.0.0 | TGH240401 | TACHIBANA\24018 | 10971768 B
17:29:18.027 | FATL | 22:.NET TP Worker | 25428:ExpressionDBWebAPI | A network-related or instance-specific error occurred while establishing a connection to SQL Server. The server was not found or was not accessible. Verify that the instance name is correct and that SQL Server is configured to allow remote connections. (provider: SQL Network Interfaces, error: 26 - Error Locating Server/Instance Specified) | ExpressionDBWebAPI.Common.SqlServerSource | List<ResponseValue> ExecuteQuery(String, List<IDbDataParameter>, Int32) | 193 L | ExpressionDBWebAPI | 1.0.0.0 | TGH240401 | TACHIBANA\24018 | 10979992 B
17:29:18.027 | FATL | 23:.NET TP Worker | 25428:ExpressionDBWebAPI | A network-related or instance-specific error occurred while establishing a connection to SQL Server. The server was not found or was not accessible. Verify that the instance name is correct and that SQL Server is configured to allow remote connections. (provider: SQL Network Interfaces, error: 26 - Error Locating Server/Instance Specified) | ExpressionDBWebAPI.Common.SqlServerSource | List<ResponseValue> ExecuteQuery(String, List<IDbDataParameter>, Int32) | 193 L | ExpressionDBWebAPI | 1.0.0.0 | TGH240401 | TACHIBANA\24018 | 10979992 B
17:29:18.027 | INFO | 22:.NET TP Worker | 25428:ExpressionDBWebAPI | SQL:SELECT FROM  VW_ログイン情報  | ExpressionDBWebAPI.Controllers.CommonController | ValueTuple<String, IDictionary<String, WhereParam>> GetSQLStringAndParam(ClassNameSelect) | 281 L | ExpressionDBWebAPI | 1.0.0.0 | TGH240401 | TACHIBANA\24018 | 10988216 B
17:29:18.027 | INFO | 18:.NET TP Worker | 25428:ExpressionDBWebAPI | SQL:SELECT FROM  VW_DEFINE_DEVICE_GROUP  WITH (NOLOCK) ORDER BY  [SORT_ORDER]  | ExpressionDBWebAPI.Controllers.CommonController | ValueTuple<String, IDictionary<String, WhereParam>> GetSQLStringAndParam(ClassNameSelect) | 281 L | ExpressionDBWebAPI | 1.0.0.0 | TGH240401 | TACHIBANA\24018 | 10988216 B
17:29:18.027 | INFO | 23:.NET TP Worker | 25428:ExpressionDBWebAPI | SQL:SELECT FROM  VW_DEFINE_DEVICE_GROUP  WITH (NOLOCK) ORDER BY  [SORT_ORDER]  | ExpressionDBWebAPI.Controllers.CommonController | ValueTuple<String, IDictionary<String, WhereParam>> GetSQLStringAndParam(ClassNameSelect) | 281 L | ExpressionDBWebAPI | 1.0.0.0 | TGH240401 | TACHIBANA\24018 | 10996440 B
17:29:18.031 | FATL | 22:.NET TP Worker | 25428:ExpressionDBWebAPI | A network-related or instance-specific error occurred while establishing a connection to SQL Server. The server was not found or was not accessible. Verify that the instance name is correct and that SQL Server is configured to allow remote connections. (provider: SQL Network Interfaces, error: 26 - Error Locating Server/Instance Specified) | ExpressionDBWebAPI.Common.SqlServerSource | List<ResponseValue> ExecuteQuery(String, List<IDbDataParameter>, Int32) | 193 L | ExpressionDBWebAPI | 1.0.0.0 | TGH240401 | TACHIBANA\24018 | 11194096 B
17:29:18.031 | FATL | 18:.NET TP Worker | 25428:ExpressionDBWebAPI | Exception has been thrown by the target of an invocation. | ExpressionDBWebAPI.Controllers.CommonGenericController | ActionResult<IEnumerable<AbstractViewModelBase>> Post(ClassNameSelect, CancellationToken) | 35 L | ExpressionDBWebAPI | 1.0.0.0 | TGH240401 | TACHIBANA\24018 | 11194096 B
17:29:18.031 | FATL | 23:.NET TP Worker | 25428:ExpressionDBWebAPI | Exception has been thrown by the target of an invocation. | ExpressionDBWebAPI.Controllers.CommonGenericController | ActionResult<IEnumerable<AbstractViewModelBase>> Post(ClassNameSelect, CancellationToken) | 35 L | ExpressionDBWebAPI | 1.0.0.0 | TGH240401 | TACHIBANA\24018 | 11194096 B
17:29:18.090 | FATL | 22:.NET TP Worker | 25428:ExpressionDBWebAPI | A network-related or instance-specific error occurred while establishing a connection to SQL Server. The server was not found or was not accessible. Verify that the instance name is correct and that SQL Server is configured to allow remote connections. (provider: SQL Network Interfaces, error: 26 - Error Locating Server/Instance Specified) | ExpressionDBWebAPI.Controllers.LogController | IActionResult Post(LoggerRequestValue, CancellationToken) | 44 L | ExpressionDBWebAPI | 1.0.0.0 | TGH240401 | TACHIBANA\24018 | 11365928 B
17:29:18.112 | FATL | 18:.NET TP Worker | 25428:ExpressionDBWebAPI | A network-related or instance-specific error occurred while establishing a connection to SQL Server. The server was not found or was not accessible. Verify that the instance name is correct and that SQL Server is configured to allow remote connections. (provider: SQL Network Interfaces, error: 26 - Error Locating Server/Instance Specified) | ExpressionDBWebAPI.Controllers.LogController | IActionResult Post(LoggerRequestValue, CancellationToken) | 44 L | ExpressionDBWebAPI | 1.0.0.0 | TGH240401 | TACHIBANA\24018 | 11509608 B
17:29:45.999 | INFO | 18:.NET TP Worker | 25428:ExpressionDBWebAPI | {"viewName":"VW_ログイン情報","className":"","columnsDefineName":"","componentName":"","selectTopCnt":0,"selectParam":[],"whereParam":{},"orderByParam":[],"tableFuncFlg":false,"GetHintStr":"","modelTypeName":"","GetModelType":"System.Object","CommandTimeout":30,"tsqlHints":"NONE","$type":"ClassNameSelect"} | ExpressionDBWebAPI.Controllers.CommonController | ActionResult<IEnumerable<ResponseValue>> Post(ClassNameSelect, CancellationToken) | 31 L | ExpressionDBWebAPI | 1.0.0.0 | TGH240401 | TACHIBANA\24018 | 11558952 B
17:30:00.706 | FATL | 26:.NET TP Worker | 25428:ExpressionDBWebAPI | A network-related or instance-specific error occurred while establishing a connection to SQL Server. The server was not found or was not accessible. Verify that the instance name is correct and that SQL Server is configured to allow remote connections. (provider: SQL Network Interfaces, error: 26 - Error Locating Server/Instance Specified) | ExpressionDBWebAPI.Common.SqlServerSource | List<ResponseValue> ExecuteQuery(String, List<IDbDataParameter>, Int32) | 193 L | ExpressionDBWebAPI | 1.0.0.0 | TGH240401 | TACHIBANA\24018 | 11877288 B
17:30:00.706 | FATL | 18:.NET TP Worker | 25428:ExpressionDBWebAPI | A network-related or instance-specific error occurred while establishing a connection to SQL Server. The server was not found or was not accessible. Verify that the instance name is correct and that SQL Server is configured to allow remote connections. (provider: SQL Network Interfaces, error: 26 - Error Locating Server/Instance Specified) | ExpressionDBWebAPI.Common.SqlServerSource | List<ResponseValue> ExecuteQuery(String, List<IDbDataParameter>, Int32) | 193 L | ExpressionDBWebAPI | 1.0.0.0 | TGH240401 | TACHIBANA\24018 | 11877288 B
17:30:00.706 | INFO | 18:.NET TP Worker | 25428:ExpressionDBWebAPI | SQL:SELECT FROM  VW_ログイン情報  | ExpressionDBWebAPI.Controllers.CommonController | ValueTuple<String, IDictionary<String, WhereParam>> GetSQLStringAndParam(ClassNameSelect) | 281 L | ExpressionDBWebAPI | 1.0.0.0 | TGH240401 | TACHIBANA\24018 | 11893480 B
17:30:00.706 | INFO | 26:.NET TP Worker | 25428:ExpressionDBWebAPI | SQL:SELECT FROM  VW_DEFINE_DEVICE_GROUP  WITH (NOLOCK) ORDER BY  [SORT_ORDER]  | ExpressionDBWebAPI.Controllers.CommonController | ValueTuple<String, IDictionary<String, WhereParam>> GetSQLStringAndParam(ClassNameSelect) | 281 L | ExpressionDBWebAPI | 1.0.0.0 | TGH240401 | TACHIBANA\24018 | 11893480 B
17:30:00.710 | FATL | 18:.NET TP Worker | 25428:ExpressionDBWebAPI | A network-related or instance-specific error occurred while establishing a connection to SQL Server. The server was not found or was not accessible. Verify that the instance name is correct and that SQL Server is configured to allow remote connections. (provider: SQL Network Interfaces, error: 26 - Error Locating Server/Instance Specified) | ExpressionDBWebAPI.Common.SqlServerSource | List<ResponseValue> ExecuteQuery(String, List<IDbDataParameter>, Int32) | 193 L | ExpressionDBWebAPI | 1.0.0.0 | TGH240401 | TACHIBANA\24018 | 12033160 B
17:30:00.710 | FATL | 26:.NET TP Worker | 25428:ExpressionDBWebAPI | Exception has been thrown by the target of an invocation. | ExpressionDBWebAPI.Controllers.CommonGenericController | ActionResult<IEnumerable<AbstractViewModelBase>> Post(ClassNameSelect, CancellationToken) | 35 L | ExpressionDBWebAPI | 1.0.0.0 | TGH240401 | TACHIBANA\24018 | 12041384 B
